Asset Number,Room Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1625,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1632,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1711,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1779,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
